City,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Albany,US,84.0,clear sky,42.6,-73.97,
7,Bethel,US,82.4,clear sky,41.37,-73.41,
11,Hithadhoo,MV,84.83,broken clouds,-0.6,73.08,
14,Butaritari,KI,83.71,broken clouds,3.07,172.79,
29,Basco,PH,84.76,broken clouds,20.45,121.97,
38,Garowe,SO,77.9,broken clouds,8.41,48.48,
47,Kandiaro,PK,89.8,clear sky,27.06,68.21,
51,The Valley,AI,84.2,scattered clouds,18.22,-63.06,
59,Kalmunai,LK,80.19,overcast clouds,7.42,81.82,
60,Hilo,US,82.4,few clouds,19.73,-155.09,
74,Awbari,LY,84.24,clear sky,26.59,12.78,
79,Trincomalee,LK,80.65,overcast clouds,8.57,81.23,
87,Sorong,ID,79.0,clear sky,-0.88,131.25,
88,Lengshuitan,CN,82.81,overcast clouds,26.41,111.6,
91,Tabuk,PH,80.96,overcast clouds,17.42,121.44,
93,San Jose,US,93.99,clear sky,37.34,-121.89,
100,Lakatoro,VU,80.6,broken clouds,-16.1,167.42,
102,Portland,US,77.0,scattered clouds,45.52,-122.68,
103,Umm Lajj,SA,82.94,scattered clouds,25.02,37.27,
105,San Patricio,MX,87.8,scattered clouds,19.22,-104.7,
108,Biltine,TD,87.4,broken clouds,14.53,20.92,
109,Aswan,EG,82.85,few clouds,24.09,32.91,
114,Georgetown,MY,80.6,few clouds,5.41,100.34,
121,Pizarro,CO,78.64,broken clouds,4.95,-77.37,
124,Nishihara,JP,86.0,broken clouds,26.18,127.76,
125,Jeremie,HT,81.99,scattered clouds,18.65,-74.12,
126,Atuona,PF,79.83,clear sky,-9.8,-139.03,
131,Daudnagar,IN,85.96,broken clouds,25.03,84.4,
137,Marzuq,YE,82.02,broken clouds,14.4,46.47,
139,Matara,LK,78.8,overcast clouds,5.95,80.54,
142,Manaure,CO,83.82,few clouds,11.78,-72.44,
145,Pacific Grove,US,77.0,clear sky,36.62,-121.92,
148,Katobu,ID,78.62,few clouds,-4.94,122.53,
149,Hami,CN,76.91,broken clouds,42.8,93.45,
151,Bandarbeyla,SO,82.06,broken clouds,9.49,50.81,
154,Faanui,PF,79.02,overcast clouds,-16.48,-151.75,
158,Isangel,VU,78.8,broken clouds,-19.55,169.27,
160,Atambua,ID,76.32,overcast clouds,-9.11,124.89,
162,Morant Bay,JM,87.8,few clouds,17.88,-76.41,
165,Atyrau,KZ,77.0,clear sky,47.12,51.88,
174,Cayenne,GF,78.8,light rain,4.93,-52.33,
182,Kidal,ML,87.98,scattered clouds,18.44,1.41,
185,Belaya Gora,RU,75.88,overcast clouds,68.53,146.42,
191,Tual,ID,79.07,scattered clouds,-5.67,132.75,
194,Bemidji,US,80.01,broken clouds,47.47,-94.88,
197,Yanam,IN,80.98,overcast clouds,16.73,82.22,
199,Leshan,CN,75.33,overcast clouds,29.56,103.76,
205,Kahului,US,89.6,scattered clouds,20.89,-156.47,
208,Puerto Escondido,MX,86.0,broken clouds,15.85,-97.07,
211,Nabire,ID,81.72,overcast clouds,-3.37,135.48,
213,Itarema,BR,77.88,broken clouds,-2.92,-39.92,
215,San Policarpo,PH,82.62,overcast clouds,12.18,125.51,
219,Salalah,OM,80.6,drizzle,17.02,54.09,
220,Marsaxlokk,MT,75.0,clear sky,35.84,14.54,
221,Sangar,RU,75.83,scattered clouds,63.92,127.47,
223,Victoria,HK,86.0,few clouds,22.29,114.16,
234,Nhulunbuy,AU,77.0,overcast clouds,-12.23,136.77,
241,Lardos,GR,78.01,clear sky,36.09,28.02,
245,Avera,US,89.6,clear sky,33.19,-82.53,
251,Altamira,BR,76.57,broken clouds,-3.2,-52.21,
255,Flin Flon,CA,75.2,overcast clouds,54.77,-101.86,
257,Lompoc,US,75.0,clear sky,34.64,-120.46,
259,Shubarkuduk,KZ,81.63,overcast clouds,49.14,56.49,
260,Hambantota,LK,80.56,overcast clouds,6.12,81.12,
264,Puertollano,ES,75.0,clear sky,38.69,-4.11,
265,Merauke,ID,79.09,broken clouds,-8.47,140.33,
268,San Quintin,MX,79.32,clear sky,30.48,-115.95,
270,Shelton,US,84.2,clear sky,41.32,-73.09,
272,Virginia Beach,US,91.99,scattered clouds,36.85,-75.98,
276,Villahermosa,MX,93.2,scattered clouds,17.98,-92.92,
277,Namatanai,PG,77.76,overcast clouds,-3.67,152.43,
279,Marion,US,81.0,broken clouds,39.77,-86.16,
285,Guerrero Negro,MX,81.34,clear sky,27.98,-114.06,
286,El Colomo,MX,87.8,scattered clouds,19.05,-104.25,
290,Assiniboia,CA,80.6,overcast clouds,49.63,-105.98,
292,Kavieng,PG,83.73,overcast clouds,-2.57,150.8,
295,Tarauaca,BR,77.72,scattered clouds,-8.16,-70.77,
298,Kudahuvadhoo,MV,83.98,broken clouds,2.67,72.89,
306,Pascagoula,US,93.2,clear sky,30.37,-88.56,
314,Do Gonbadan,IR,89.6,clear sky,30.36,50.8,
316,Alofi,NU,77.0,broken clouds,-19.06,-169.92,
326,Nueva Guinea,NI,75.02,overcast clouds,11.69,-84.46,
327,Semnan,IR,75.06,overcast clouds,35.57,53.4,
331,Dossor,KZ,86.88,clear sky,47.53,52.98,
332,Berbera,SO,92.03,broken clouds,10.44,45.01,
335,Agadir,MA,75.2,scattered clouds,30.42,-9.6,
338,Nusaybin,TR,80.37,scattered clouds,37.08,41.22,
339,Ewa Beach,US,84.2,few clouds,21.32,-158.01,
349,Las Choapas,MX,87.8,scattered clouds,17.93,-94.08,
352,Jizan,SA,91.4,scattered clouds,17.33,42.67,
356,Nurota,UZ,77.0,clear sky,40.56,65.69,
360,Carovigno,IT,77.0,clear sky,40.71,17.66,
365,Ipixuna,BR,82.4,few clouds,-1.76,-48.8,
367,Banda Aceh,ID,79.95,overcast clouds,5.56,95.32,
368,Marawi,PH,77.0,overcast clouds,8.0,124.29,
376,Lander,US,95.0,clear sky,42.83,-108.73,
378,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,
384,Champerico,GT,78.8,scattered clouds,14.3,-91.92,
388,Elko,US,93.99,clear sky,41.0,-115.5,
389,Sao Felix Do Xingu,BR,80.2,broken clouds,-6.64,-51.99,
391,Kayankulam,IN,76.73,overcast clouds,9.18,76.5,
394,Port Moresby,PG,77.0,few clouds,-9.44,147.18,
400,Ninh Binh,VN,84.25,clear sky,20.25,105.97,
403,Nadapuram,IN,75.2,light rain,11.7,75.67,
406,Bobo Dioulasso,BF,77.0,few clouds,11.18,-4.3,
407,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,
408,Fukue,JP,77.0,broken clouds,32.69,128.84,
409,Tabou,CI,75.02,broken clouds,4.42,-7.35,
415,Isabela,PH,81.01,overcast clouds,6.71,121.97,
417,Bilma,NE,89.53,overcast clouds,18.69,12.92,
422,Kendari,ID,77.23,broken clouds,-3.94,122.5,
427,Mazagao,BR,82.4,broken clouds,-0.12,-51.29,
432,Safaga,EG,87.8,clear sky,26.73,33.94,
433,Phangnga,TH,77.0,scattered clouds,8.45,98.53,
434,Erdemli,TR,79.03,clear sky,36.6,34.31,
437,Gunjur,GM,77.0,moderate rain,13.2,-16.73,
438,Candiis,PH,83.14,overcast clouds,8.97,125.18,
448,Kailua,US,84.2,broken clouds,21.4,-157.74,
451,Jiwani,PK,83.88,broken clouds,25.05,61.74,
453,Barra,BR,75.56,few clouds,-11.09,-43.14,
454,Lumphat,KH,75.33,overcast clouds,13.49,106.98,
456,Zhezkazgan,KZ,76.08,clear sky,47.8,67.71,
458,Khandyga,RU,80.4,scattered clouds,62.67,135.6,
460,Dovers,VC,77.0,light intensity shower rain,12.88,-61.18,
462,Lingao,CN,82.67,clear sky,19.91,109.69,
463,Tessalit,ML,91.63,scattered clouds,20.2,1.01,
467,Biak,ID,78.89,scattered clouds,-0.91,122.88,
470,Acoua,YT,75.2,clear sky,-12.72,45.06,
472,Malatya,TR,77.0,clear sky,38.5,38.0,
474,Koumac,NC,76.53,clear sky,-20.57,164.28,
476,Honiara,SB,84.2,broken clouds,-9.43,159.95,
481,Windsor,CA,82.0,scattered clouds,42.3,-83.02,
493,Noumea,NC,75.2,broken clouds,-22.28,166.46,
498,Sur,OM,84.96,overcast clouds,22.57,59.53,
500,Mwandiga,TZ,75.94,broken clouds,-4.83,29.66,
511,Diapaga,BF,78.31,scattered clouds,12.07,1.79,
512,Arlit,NE,93.6,clear sky,18.74,7.39,
516,Premia De Mar,ES,77.0,overcast clouds,41.49,2.37,
517,Manado,ID,75.2,few clouds,1.49,124.85,
518,Palimbang,PH,83.05,overcast clouds,6.21,124.19,
521,Teahupoo,PF,80.6,broken clouds,-17.83,-149.27,
528,Benghazi,LY,75.85,clear sky,32.12,20.07,
529,Hailar,CN,75.6,broken clouds,49.2,119.7,
531,Pundaguitan,PH,82.54,overcast clouds,6.37,126.17,
532,Nha Trang,VN,82.4,few clouds,12.25,109.18,
536,Hihya,EG,77.0,scattered clouds,30.67,31.59,
541,Turayf,SA,75.2,clear sky,31.67,38.66,
542,Riachao,BR,77.0,broken clouds,-7.36,-46.62,
544,San Cristobal,VE,78.8,scattered clouds,7.77,-72.22,
